Home Guldov	Chrono Cross	data/chrhomeg.abc	Ducksey
Overworld	Chrono Cross	data/chrove.abc	Ducksey
Radical Dreamers	Chrono Cross	data/chrrad.abc	Ducksey
Reminiscence - Thoughts Not Extinguished	Chrono Cross	data/chrrem.abc	Ducksey
Victory	Chrono Cross	data/chrvic.abc	Ducksey
Voyage - Another World	Chrono Cross	data/chrvoya.abc	Ducksey
Voyage - Home World	Chrono Cross	data/chrvoyh.abc	Ducksey
Missing Love	Cianra	data/missing.abc	Cianra
Rock the Casbah	Clash, The	data/claroc.abc	Genwen
Should I Stay or Should I Go?	Clash, The	data/clasho.abc	Ratissia
A Bad Goodbye	Clint Black	data/clinaba.abc	Bungee
Welcome Home	Coheed &amp; Cambria	data/cohwel.abc	Cyrano
Suffocate	Cold	data/colsuf.abc	Cervantes
Clocks	Coldplay	data/colclock.abc	Chinzia
Clocks	Coldplay	data/colclo.abc	Ducksey
Everything's Not Lost	Coldplay	data/coleve.abc	Thelodin
Fix You	Coldplay	data/colfix.abc	Inkling
Speed of Sound	Coldplay	data/colspe.abc	Chinzia
Love Me	Collin Raye	data/collov.abc	Bungee
Gangsta's Paradise	Coolio	data/coogan.abc	Genwen
Long December	Counting Crows	data/coulon.abc	Ratissia
Free to Decide	Cranberries, The	data/crafre.abc	Cranberry
Linger	Cranberries, The	data/cralin.abc	Ducksey
What's this Life For?	Creed	data/crewha.abc	Cervantes
Bad Moon Rising	Creedence Clearwater Revival	data/crebad.abc	Ratissia
Susie Q	Creedence Clearwater Revival	data/cresus.abc	Genwen
She Sells Sanctuary	Cult, The	data/culshe.abc	Ratissia
Boys Don't Cry	Cure, The	data/curboy.abc	Thorsongori
Close to Me	Cure, The	data/curclo.abc	Prosco
Friday I'm in Love	Cure, The	data/curfri.abc	Thorsongori
Lets go to Bed	Cure, The	data/curlet.abc	Prosco
Love Song	Cure, The	data/curlov.abc	Ducksey
Lullaby	Cure, The	data/curlul.abc	Prosco
Time After Time	Cyndi Lauper	data/cyntim.abc	Unknown
Bring It	Cyrano	data/bringit.abc	Cyrano
